r,rho,P,analytic_rho
7.825000000000001,6.8202989204262675e-09,5.247874534930493e-06,5.0832501895780295e-08
7.875,5.40087057317683e-09,4.208973756192351e-06,4.599514976768596e-08
7.925000000000001,5.77784982591968e-09,4.56011816085679e-06,4.1618132557970174e-08
7.975,3.192423484758015e-09,2.5514858670305873e-06,3.765764360723211e-08
8.025,2.7936921422877364e-09,2.2608924177269463e-06,3.4074045010886215e-08
8.075,2.9267642513506143e-09,2.39819258229806e-06,3.083147090969142e-08
8.125,1.862069977065578e-09,1.5447349466235274e-06,2.789746853217594e-08
8.175,1.8152168742220553e-09,1.5244572870720458e-06,2.5242673396393474e-08
8.225000000000001,1.664194158683072e-09,1.4147737981140852e-06,2.2840515420317644e-08
8.275,7.807556935698341e-10,6.718345746392534e-07,2.066695299953078e-08
8.325,9.655352343720966e-10,8.409066376558095e-07,1.8700232390766e-08
8.375,8.087875573716571e-10,7.128780565856983e-07,1.6920669993133104e-08
8.425,5.95241627015928e-10,5.309385420204573e-07,1.5310455348025075e-08
8.475000000000001,6.491221507610904e-10,5.858911888978594e-07,1.3853472886061837e-08
8.525,3.641874728253979e-10,3.3260202370044096e-07,1.2535140637055391e-08
8.575,3.0968071518024456e-10,2.8614984382003326e-07,1.134226428875086e-08
8.625,2.768680076938887e-10,2.588225211930214e-07,1.0262905133714783e-08
8.675,2.1070834017394072e-10,1.9926533756375592e-07,9.286260582738464e-09
8.725000000000001,1.4667991957700647e-10,1.403177418701803e-07,8.402556048894166e-09
8.775,1.2889292189443948e-10,1.2471949917269676e-07,7.602947120183847e-09
8.825,1.0062990003159821e-10,9.848441173687871e-08,6.8794310416911015e-09
8.875,5.3615245698881545e-11,5.3068405225786064e-08,6.224766621320199e-09
8.925,4.682874619374009e-11,4.687485954946102e-08,5.632401757511785e-09
8.975000000000001,2.2004272872118685e-11,2.227342088545517e-08,5.0964078636081575e-09
9.025,1.3119717827489046e-11,1.3428573808482534e-08,4.611420532565375e-09
9.075,7.009426258848253e-12,7.2541528339799425e-09,4.172585848164473e-09
9.125,7.002107469448445e-13,7.326650397487706e-10,3.775511805386521e-09
9.175,1.7803490961743774e-13,1.8833379300531037e-10,3.4162243537502187e-09
9.225000000000001,2.7073277446430215e-14,2.895239603617545e-11,3.091127623678908e-09
9.275,2.041680860319534e-15,2.2071233729547797e-12,2.7969679378292606e-09
9.325,1.788192677437109e-16,1.9539925233403172e-13,2.5308012471947956e-09
9.375,4.020839844205075e-18,4.440892098500563e-15,2.289963666073922e-09
9.425,0.0,0.0,2.072044811006485e-09
9.475000000000001,0.0,0.0,1.874863676845913e-09
9.525,0.0,0.0,1.6964468085266653e-09
9.575000000000001,0.0,0.0,1.5350085500626095e-09
9.625,0.0,0.0,1.3889331731017767e-09
9.675,0.0,0.0,1.2567587061739023e-09
9.725000000000001,0.0,0.0,1.1371623027886053e-09
9.775,0.0,0.0,1.0289470019430697e-09
9.825000000000001,0.0,0.0,9.310297485340074e-10
9.875,0.0,0.0,8.424305537781818e-10
9.925,0.0,0.0,7.622626871552525e-10
9.975000000000001,0.0,0.0,6.897238017107102e-10
